Time (ms),Theta_1_deg,Theta_1_rad,y,y_real,y_delta,Theta _2_deg,Theta_2_rad
2677,-7.412178,-0.129366911,-36.42869,36.5,0.07131,48.6642,0.849350518
2710,-9.677683,-0.168907432,-36.54541,36.5,-0.04541,42.20964,0.736697194
2743,-11.52612,-0.201168744,-36.62435,36.5,-0.12435,35.03778,0.611524624
2777,-13.01733,-0.227195268,-36.67619,36.5,-0.17619,27.56697,0.481134391
2810,-14.17651,-0.247426776,-36.70101,36.5,-0.20101,20.05198,0.349973073
2843,-14.99893,-0.261780713,-36.69351,36.5,-0.19351,12.70217,0.221694689
2876,-15.48041,-0.270184124,-36.6545,36.5,-0.1545,5.755499,0.100452408
2910,-15.65233,-0.273184694,-36.58939,36.5,-0.08939,-0.5056098,-0.008824556
2943,-15.59895,-0.272253037,-36.5038,36.5,-0.0038,-5.753838,-0.100423418
2976,-15.44475,-0.26956174,-36.40786,36.5,0.09214,-9.642472,-0.168292884
3010,-15.29707,-0.266984237,-36.31607,36.5,0.18393,-11.89319,-0.207575324
3043,-15.16104,-0.264610066,-36.23843,36.5,0.26157,-12.41716,-0.216720326
3077,-14.92326,-0.260460022,-36.17828,36.5,0.32172,-11.38836,-0.198764378
3110,-14.45453,-0.25227914,-36.14014,36.5,0.35986,-9.200185,-0.16057352
3144,-13.71319,-0.239340316,-36.13609,36.5,0.36391,-6.328204,-0.110447996
3177,-12.71787,-0.221968705,-36.17753,36.5,0.32247,-3.215903,-0.056128096
3210,-11.46421,-0.200088211,-36.25704,36.5,0.24296,-0.2294177,-0.004004094
3244,-9.944369,-0.173561981,-36.34674,36.5,0.15326,2.381587,0.041566535
3277,-8.233086,-0.143694458,-36.42152,36.5,0.07848,4.52463,0.078969691
3310,-6.485056,-0.113185579,-36.4774,36.5,0.0226,6.246237,0.109017402
3344,-4.839192,-0.084459834,-36.52428,36.5,-0.02428,7.650135,0.133520044
3377,-3.350787,-0.058482266,-36.5701,36.5,-0.0701,8.822243,0.153977188
3410,-1.998079,-0.034873057,-36.61514,36.5,-0.11514,9.813976,0.171286194
3444,-0.7227414,-0.012614217,-36.65435,36.5,-0.15435,10.66052,0.186061174
3477,0.5209576,0.009092425,-36.68075,36.5,-0.18075,11.39214,0.198830352
3510,1.733669,0.030258232,-36.68869,36.5,-0.18869,12.03572,0.210062942
3543,2.88666,0.050381721,-36.68033,36.5,-0.18033,12.61816,0.220228438
3577,3.965821,0.069216634,-36.66686,36.5,-0.16686,13.16556,0.22978237
3610,5.002809,0.087315489,-36.65788,36.5,-0.15788,13.70124,0.23913175
3635,6.06453,0.105846016,-36.65461,36.5,-0.15461,14.25825,0.248853408
3669,7.200425,0.125671124,-36.65249,36.5,-0.15249,14.89808,0.260020548
3711,8.419287,0.146944279,-36.64292,36.5,-0.14292,15.70738,0.274145498
3745,9.742789,0.170043746,-36.61259,36.5,-0.11259,16.7588,0.292496239
3778,11.21559,0.195748973,-36.54703,36.5,-0.04703,18.08005,0.315556401
3845,12.7943,0.22330266,-36.44206,36.5,0.05794,19.67479,0.343389865
3878,14.3192,0.249917186,-36.3102,36.5,0.1898,21.53732,0.375897146
3911,15.657,0.273266201,-36.17052,36.5,0.32948,23.64104,0.412613987
3945,16.74854,0.292317168,-36.03951,36.5,0.46049,25.9849,0.453522061
3970,17.47595,0.305012867,-35.93724,36.5,0.56276,28.66772,0.500346103
4004,17.58652,0.306942678,-35.8912,36.5,0.6088,31.8672,0.556187563
4037,16.80754,0.293346912,-35.91446,36.5,0.58554,35.73282,0.62365536
4071,15.04485,0.262582168,-35.97692,36.5,0.52308,40.29015,0.703195774
4105,12.46958,0.217635227,-36.01995,36.5,0.48005,45.37374,0.791921157
4139,9.416998,0.164357621,-36.01253,36.5,0.48747,50.55857,0.882413512
4173,6.213489,0.108445841,-35.98362,36.5,0.51638,55.13671,0.962317128
4207,3.081491,0.053782164,-35.99306,36.5,0.50694,58.26687,1.016948726
4241,0.1399927,0.002443334,-36.0763,36.5,0.4237,59.29013,1.034807982
