Time (ms),Theta 1,y,Theta 2,Theta 2 Optimized
5355,3.204757,-36.66636,13.87729,
5388,3.824117,-36.68621,14.57612,
5421,4.525473,-36.70262,15.26512,
5454,5.306,-36.71008,15.94933,
5488,6.138275,-36.70589,16.65709,
5521,6.984492,-36.69479,17.42983,
5555,7.822739,-36.68419,18.30647,
5588,8.660256,-36.66927,19.30918,
5621,9.524609,-36.63232,20.45056,
5654,10.43215,-36.5584,21.7678,
5688,11.3611,-36.44782,23.33523,
5712,12.23926,-36.3168,25.23851,
5746,12.91128,-36.19496,27.56585,
5780,13.11783,-36.11377,30.40947,
5814,12.58138,-36.07867,33.82503,
5848,11.17196,-36.06051,37.76501,
5883,9.006024,-36.03102,42.01648,
5916,6.384902,-35.99899,46.15314,
5951,3.637129,-36.0022,49.55097,
5984,1.00838,-36.06875,51.52878,
6018,-1.374573,-36.19316,51.5858,
6052,-3.505936,-36.34916,49.59146,
6086,-5.450819,-36.51287,45.79947,
6120,-7.273258,-36.66696,40.69677,
6154,-9.000992,-36.7975,34.75109,
6188,-10.61192,-36.89844,28.1705,
6222,-12.02694,-36.97208,20.91214,
6256,-13.13407,-37.01979,12.96259,
6290,-13.85061,-37.03416,4.628609,
6332,-14.20671,-36.99973,-3.393501,
6366,-14.39233,-36.90523,-10.24657,
6399,-14.65574,-36.7658,-15.17553,
6465,-15.06556,-36.62712,-17.69635,
6499,-15.3904,-36.52557,-17.82432,
6532,-15.2906,-36.45593,-16.13024,
6557,-14.61165,-36.40689,-13.3861,
6591,-13.45511,-36.4007,-10.16157,
6625,-12.0323,-36.45724,-6.77765,
6667,-10.4996,-36.54348,-3.480133,
6701,-8.903543,-36.60235,-0.5079131,
6734,-7.237059,-36.62044,1.971953,
6768,-5.521686,-36.63259,3.905436,
6800,-3.823202,-36.66933,5.325136,
6834,-2.204932,-36.72974,6.318741,
6867,-0.7046202,-36.79784,7.019675,
6900,0.6419164,-36.86073,7.587161,
6934,1.795858,-36.91091,8.157041,
6967,2.750035,-36.94707,8.790897,
6992,3.558152,-36.97709,9.461474,
7026,4.327987,-37.0138,10.09209,
7060,5.166858,-37.06406,10.6242,
7094,6.120143,-37.12263,11.05218,
7128,7.168763,-37.17719,11.41702,
7170,8.26466,-37.21747,11.7977,
7203,9.351357,-37.23774,12.28773,
7237,10.38212,-37.23498,12.94939,
7262,11.34481,-37.20908,13.7891,
7296,12.26802,-37.16253,14.75962,
7330,13.19919,-37.09958,15.78251,
7364,14.16459,-37.02473,16.8353,
7398,15.14697,-36.93738,18.04656,
7432,16.0904,-36.83821,19.60824,
7465,16.87257,-36.74658,21.56186,
7499,17.25838,-36.69283,23.78273,
7533,16.94763,-36.68386,26.22659,
7567,15.73639,-36.68909,29.07072,
7601,13.6434,-36.6689,32.51161,
7635,10.8496,-36.61762,36.48144,
7677,7.546216,-36.57876,40.56158,
7711,3.942625,-36.60435,43.96605,
7778,0.3870702,-36.69361,45.64021,
7811,-2.747595,-36.79849,44.7829,
7836,-5.336682,-36.8857,41.27528,
7870,-7.49612,-36.95699,35.55657,
7904,-9.352769,-37.01849,28.35171,
7938,-10.94034,-37.06136,20.44552,
7972,-12.24381,-37.07296,12.45744,
8006,-13.25524,-37.05247,4.794723,
8048,-14.01952,-37.00872,-2.210691,
8081,-14.66469,-36.95061,-8.19136,
8114,-15.35896,-36.88535,-12.75563,
8148,,,-15.58731,
8181,,,-16.60382,
8215,,,-16.07451,
8248,,,-14.51733,
8281,,,-12.42548,
8315,,,-10.07868,
8348,,,-7.555692,
8381,,,-4.894645,
8415,,,-2.240722,
8448,,,0.1840936,
8481,,,2.230419,
8514,,,3.893619,
8548,,,5.252225,
8581,,,6.373529,
8614,,,7.290524,
8648,,,8.037021,
8681,,,8.665486,
8714,,,9.241338,
8748,,,9.837182,
8781,,,10.51522,
8814,,,11.30997,
8848,,,12.23582,
8881,,,13.29583,
8914,,,14.47423,
8948,,,15.73506,
8981,,,17.03585,
9048,,,18.34621,
9081,,,19.66592,
9114,,,21.03238,
9147,,,22.50749,
9181,,,24.15815,
9214,,,26.03883,
9248,,,28.17039,
9281,,,30.54103,
9306,,,33.14388,
9340,,,36.01624,
9374,,,39.17349,
9408,,,42.36829,
9442,,,45.09295,
9475,,,47.05952,
9510,,,48.23976,
9543,,,48.35818,
9586,,,46.92418,
9619,,,43.71374,
9653,,,38.88797,
9686,,,32.84233,
9719,,,26.04129,
9753,,,18.87198,
9786,,,11.60939,
9811,,,4.49439,
9845,,,-2.17176,
9878,,,-7.99463,
9913,,,-12.5258,
9947,,,-15.37315,
9980,,,-16.38701,
10014,,,-15.80831,
10048,,,-14.16,
10082,,,-11.92459,
10116,,,-9.352556,
10150,,,-6.532405,
10184,,,-3.552193,
10218,,,-0.5799991,
10252,,,2.195858,
10286,,,4.661806,
10354,,,6.782348,
10388,,,8.5513,
10422,,,9.97942,
10456,,,11.10732,
10498,,,12.00553,
10531,,,12.7607,
10565,,,13.45843,
10598,,,14.17146,
10631,,,14.95007,
10665,,,15.81174,
10698,,,16.7388,
10731,,,17.68826,
10756,,,18.61948,
10799,,,19.5322,
10832,,,20.47096,
10865,,,21.48966,
10899,,,22.63232,
10932,,,23.94332,
10965,,,25.49237,
10990,,,27.44683,
11024,,,30.11931,
11058,,,33.79307,
