Time (ms),Theta_1,y_measured,y_real,y,theta_1_rad
3543,2.88666,-36.68033,36.5,-0.18033,0.050381721
3577,3.965821,-36.66686,36.5,-0.16686,0.069216634
3610,5.002809,-36.65788,36.5,-0.15788,0.087315489
3635,6.06453,-36.65461,36.5,-0.15461,0.105846016
3669,7.200425,-36.65249,36.5,-0.15249,0.125671124
3711,8.419287,-36.64292,36.5,-0.14292,0.146944279
3745,9.742789,-36.61259,36.5,-0.11259,0.170043746
3778,11.21559,-36.54703,36.5,-0.04703,0.195748973
3845,12.7943,-36.44206,36.5,0.05794,0.22330266
3878,14.3192,-36.3102,36.5,0.1898,0.249917186
3911,15.657,-36.17052,36.5,0.32948,0.273266201
3945,16.74854,-36.03951,36.5,0.46049,0.292317168
3970,17.47595,-35.93724,36.5,0.56276,0.305012867
4004,17.58652,-35.8912,36.5,0.6088,0.306942678
4037,16.80754,-35.91446,36.5,0.58554,0.293346912
4071,15.04485,-35.97692,36.5,0.52308,0.262582168
4105,12.46958,-36.01995,36.5,0.48005,0.217635227
4139,9.416998,-36.01253,36.5,0.48747,0.164357621
4173,6.213489,-35.98362,36.5,0.51638,0.108445841
4207,3.081491,-35.99306,36.5,0.50694,0.053782164
4241,0.1399927,-36.0763,36.5,0.4237,0.002443334
4275,-2.564872,-36.21947,36.5,0.28053,-0.044765461
4309,-5.037777,-36.37917,36.5,0.12083,-0.087925796
4343,-7.302267,-36.51784,36.5,-0.01784,-0.127448602
4377,-9.363346,-36.62222,36.5,-0.12222,-0.163421217
4411,-11.20038,-36.69743,36.5,-0.19743,-0.195483508
4445,-12.77515,-36.75025,36.5,-0.25025,-0.22296843
4479,-14.03383,-36.77963,36.5,-0.27963,-0.24493654
4521,-14.91994,-36.78016,36.5,-0.28016,-0.260402077
4555,-15.41825,-36.74789,36.5,-0.24789,-0.269099227
4588,-15.60499,-36.68087,36.5,-0.18087,-0.272358455
4621,-15.63541,-36.57883,36.5,-0.07883,-0.272889384
4654,-15.65939,-36.4472,36.5,0.0528,-0.273307914
4688,-15.73339,-36.30076,36.5,0.19924,-0.274599458
4721,-15.7806,-36.15936,36.5,0.34064,-0.275423428
4754,-15.63827,-36.04071,36.5,0.45929,-0.272939301
4788,-15.1957,-35.96143,36.5,0.53857,-0.265214997
4821,-14.4807,-35.94286,36.5,0.55714,-0.252735893
4854,-13.5679,-35.99996,36.5,0.50004,-0.236804528
4888,-12.45316,-36.1131,36.5,0.3869,-0.217348644
4921,-11.09155,-36.23198,36.5,0.26802,-0.193584067
4954,-9.510888,-36.32242,36.5,0.17758,-0.16599631
4988,-7.820829,-36.38802,36.5,0.11198,-0.136499216
5021,-6.130688,-36.44373,36.5,0.05627,-0.107000691
5054,-4.485553,-36.49725,36.5,0.00275,-0.078287669
5088,-2.892551,-36.55356,36.5,-0.05356,-0.050484539
5154,-1.404809,-36.60825,36.5,-0.10825,-0.024518542
5188,-0.1311797,-36.64412,36.5,-0.14412,-0.002289518
5221,0.8538014,-36.65383,36.5,-0.15383,0.014901646
5254,1.575169,-36.64936,36.5,-0.14936,0.027491885
5288,2.136358,-36.64551,36.5,-0.14551,0.037286481
5321,2.653675,-36.65074,36.5,-0.15074,0.046315366
5355,3.204757,-36.66636,36.5,-0.16636,0.055933561
5388,3.824117,-36.68621,36.5,-0.18621,0.066743433
5421,4.525473,-36.70262,36.5,-0.20262,0.078984404
5454,5.306,-36.71008,36.5,-0.21008,0.09260717
5488,6.138275,-36.70589,36.5,-0.20589,0.107133109
5521,6.984492,-36.69479,36.5,-0.19479,0.121902382
5555,7.822739,-36.68419,36.5,-0.18419,0.136532552
5588,8.660256,-36.66927,36.5,-0.16927,0.151149981
5621,9.524609,-36.63232,36.5,-0.13232,0.166235787
5654,10.43215,-36.5584,36.5,-0.0584,0.182075366
5688,11.3611,-36.44782,36.5,0.05218,0.198288602
